Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
Abraham Lincoln Birthplace NHP,"2,71,231","2,39,074","2,52,245","3,18,707","2,56,126","2,58,023","2,64,905","2,80,620","2,92,825","2,88,324","3,09,823","3,07,669","3,16,945","3,02,739","2,93,710","2,79,542","2,68,509","2,49,344","2,62,889","2,50,842","2,51,204","2,36,180","2,29,675","2,50,772","2,11,650","2,01,828","1,90,809","2,00,054","2,02,950","2,00,404","2,21,111","1,77,122","1,63,568","1,69,515","1,63,928","2,41,264","1,48,605","2,52,495","2,69,580","2,60,964","2,38,226","1,00,45,996",245024.2927
Acadia National Park,"27,87,366","27,79,666","29,97,972","35,72,114","41,24,639","37,34,763","37,45,570","39,29,054","42,88,154","45,02,283","54,40,952","23,39,591","24,75,857","23,82,113","26,56,034","27,10,749","28,45,378","27,04,831","27,60,306","25,94,497","26,02,227","24,69,238","25,16,551","25,58,572","24,31,062","22,07,847","20,51,484","20,83,588","22,02,228","20,75,857","22,27,698","25,04,208","23,74,645","24,31,052","22,54,922","25,63,129","28,11,184","33,03,393","35,09,271","35,37,575","34,37,286","11,95,24,906",2915241.61
Adams NHP,"34,322","24,974","27,055","25,440","26,162","23,398","24,555","24,693","25,617","21,617","22,595","20,315","26,958","27,400","43,877","41,179","47,312","38,230","56,643","63,569","84,574","87,347","1,67,500","1,73,944","2,15,659","2,39,504","2,20,467","2,25,318","2,24,880","2,41,536","2,53,656","73,339","2,19,975","3,36,031","2,85,501","1,78,468","1,83,632","1,99,301","2,55,562","1,21,007","1,87,400","48,20,512",117573.4634
Agate Fossil Beds NM,"8,115","8,330","9,459","9,018","10,097","10,317","10,366","10,187","11,439","11,156","11,459","14,482","13,891","18,785","19,467","18,970","18,719","16,567","20,596","17,594","18,117",0,0,0,0,0,0,0,0,0,0,"1,17,113","1,08,585","77,624","93,234","54,861","56,348","46,526","43,182","45,035","47,427","9,77,066",23830.87805
Alibates Flint Quarries NM,"1,922","2,211","2,384","2,398","1,919","2,251","2,200","2,202","2,494","2,140","3,842","3,418","3,812","3,419","3,155","3,392","2,769","3,276","3,363","3,293","3,047","17,933","17,399","17,129","16,233","15,235","14,209","13,521","12,997","12,425","12,694","12,509","11,617","11,824","10,504","12,440","13,264","15,555","32,038","16,238","16,657","3,61,328",8812.878049
Allegheny Portage Railroad NHS,"58,225","73,995","65,557","60,069","55,148","59,635","69,523","68,990","93,289","1,23,622","1,33,324","1,31,735","1,54,816","1,83,473","1,89,009","1,60,394","1,45,307","1,39,446","1,21,841","1,11,100","1,11,391","3,131","2,456","2,125","1,811","2,012","2,919","1,882","4,028","2,297","2,918","4,350","3,214","3,383","1,555","4,513","9,492","8,153","6,613","7,415","8,847","23,93,003",58365.92683
Amistad NRA,"12,61,846","10,84,689","9,76,414","12,59,668","12,21,445","11,64,338","11,39,366","12,06,669","12,19,967","12,84,606","13,21,168","13,06,474","12,15,691","15,59,659","15,05,084","15,91,903","14,22,321","12,38,990","10,84,433","11,29,811","11,64,166","1,33,396","1,42,340","1,46,484","1,29,995","1,26,441","1,15,357","1,21,009","1,23,215","1,13,991","1,18,931","1,07,363","1,18,410","1,38,864","1,07,977","1,72,883","1,68,433","1,89,371","2,01,837","1,89,047","1,89,189","2,92,13,241",712518.0732
Andersonville NHS,"1,51,123","1,26,700","1,13,697","1,04,053","1,10,921","1,01,029","1,18,440","1,29,798","1,30,114","1,29,912","1,36,068","1,31,406","1,51,408","1,43,025","1,36,567","1,62,279","1,56,581","1,97,394","1,96,340","2,25,653","1,82,539","12,34,506","10,97,650","10,47,784","10,71,199","14,45,772","13,99,852","15,99,271","17,34,200","19,80,717","25,73,966","15,74,322","14,36,759","13,67,502","10,25,151","11,30,096","12,50,051","11,64,530","12,21,635","11,11,770","12,67,900","3,07,69,680",750480
Andrew Johnson NHS,"47,674","65,591","74,100","77,578","1,19,410","84,889","68,607","72,600","77,095","76,566","71,350","71,017","82,076","64,481","41,703","59,538","63,196","59,102","67,309","60,207","51,779","1,67,373","1,60,974","1,90,004","1,50,661","1,65,929","1,32,466","1,32,153","1,53,686","1,59,592","1,36,267","1,21,535","1,08,812","1,22,883","98,771","1,27,189","1,36,686","1,34,216","1,32,149","1,38,164","1,03,635","42,29,013",103146.6585
Antietam NB,"3,19,610",0,0,0,0,0,0,0,0,0,853,967,"1,469","1,638","1,593","1,193",0,0,0,209,377,"59,897","49,551","48,878","51,910","50,196","48,552","50,701","43,456","69,433","63,296","60,323","52,322","51,261","42,929","42,863","45,357","45,937","53,998","50,671","51,189","13,60,629",33186.07317
Apostle Islands NL,"75,629","3,52,780","4,68,078","4,10,399","4,33,122","5,28,369","5,85,190","7,06,720","6,10,674","1,35,117","1,47,007","2,17,249","2,63,110","2,43,707","1,81,909","2,37,821","2,15,914","2,46,082","2,75,639","2,75,385","2,68,897",251,206,241,154,285,285,60,26,10,14,62,57,19,134,134,153,100,100,100,100,"68,81,289",167836.3171
